DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Belgium (incl. Luxembourg 'LU' -> 1998),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,10839.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Germany (incl. German Democratic Republic 'DD' from 1991),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,39250.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Germany (incl. German Democratic Republic 'DD' from 1991),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,962355.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Germany (incl. German Democratic Republic 'DD' from 1991),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,693916.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Spain (incl. Canary Islands 'XB' from 1997),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,373399.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Extra-EU27 (from 2020),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,146369.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Extra-EU27 (from 2020),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,228861.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Extra-EU27 (from 2020),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2024,569.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Extra-EU27 (from 2020),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2025,137497.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Extra-EU27 (from 2020),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2024,59717.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,2018.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,2940.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Greece,"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2025,29380.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Greece,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,306520.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Greece,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,567593.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Greece,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2025,8496.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Greece,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2024,29406.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Greece,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2025,62398.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Hungary,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,227.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,81323.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2025,72290.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,2623912.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,2449183.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2024,786.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2025,8818.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2024,91928.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Intra-EU27 (from 2020),"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2025,126310.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,42073.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2025,42910.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,788273.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,962173.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2024,786.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2025,322.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2024,62522.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Italy (incl. San Marino 'SM' -> 1993),"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2025,63912.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Poland,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,5743.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Poland,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,3768.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Romania,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,82468.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Romania,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,173194.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,Slovenia,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,45599.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,81323.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2025,72290.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,2770281.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,2678044.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2024,569.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2025,137497.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2024,60503.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2025,8818.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2024,91928.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Albania,All countries of the world,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2025,126310.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Armenia,"Milk and cream, concentrated or containing added sugar or other sweetening matter",EXPORT,QUANTITY_KG,2024,0.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Azerbaijan,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,125.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Azerbaijan,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2025,125.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Azerbaijan,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2025,1200.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Azerbaijan,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",EXPORT,QUANTITY_KG,2025,1200.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bosnia and Herzegovina,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,18221.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bosnia and Herzegovina,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2024,1440.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bosnia and Herzegovina,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2025,8130.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bosnia and Herzegovina,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",EXPORT,QUANTITY_KG,2024,1734.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bosnia and Herzegovina,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2025,1769.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,1131422.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Milk and cream, concentrated or containing added sugar or other sweetening matter",EXPORT,QUANTITY_KG,2024,234049.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,16839.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2024,3424996.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",IMPORT,QUANTITY_KG,2024,38299.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",EXPORT,QUANTITY_KG,2024,316026.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",IMPORT,QUANTITY_KG,2024,841315.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Belgium (incl. Luxembourg 'LU' -> 1998),"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",EXPORT,QUANTITY_KG,2024,80.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bulgaria,"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,20893.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bulgaria,"Milk and cream, concentrated or containing added sugar or other sweetening matter",EXPORT,QUANTITY_KG,2024,16768.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bulgaria,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",EXPORT,QUANTITY_KG,2024,201653.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bulgaria,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.",EXPORT,QUANTITY_KG,2024,827201.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Bulgaria,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",EXPORT,QUANTITY_KG,2024,5640.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Switzerland (incl. Liechtenstein 'LI' -> 1994),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2024,3148.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Switzerland (incl. Liechtenstein 'LI' -> 1994),"Milk and cream, concentrated or containing added sugar or other sweetening matter",IMPORT,QUANTITY_KG,2025,2126.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Switzerland (incl. Liechtenstein 'LI' -> 1994),"Milk and cream, concentrated or containing added sugar or other sweetening matter",EXPORT,QUANTITY_KG,2024,379907.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Switzerland (incl. Liechtenstein 'LI' -> 1994),"Milk and cream, concentrated or containing added sugar or other sweetening matter",EXPORT,QUANTITY_KG,2025,381149.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Switzerland (incl. Liechtenstein 'LI' -> 1994),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2024,26247.000
ESTAT:DS-059341(1.0),13/02/26 11:00:00,Annual,Austria,Switzerland (incl. Liechtenstein 'LI' -> 1994),"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",IMPORT,QUANTITY_KG,2025,47095.000
